date,sales,price,is_festival,is_festival_1d,is_weekend,Max_Temperature,Min_Temperature,extreme_weather,sales_1d,sales_2d,sales_3d,sales_4d,sales_5d,sales_6d,sales_7d,sales_diff,price_diff
2021/1/8,491.887,5.63,0,0,0,5,-2,0,364.139,450.869,433.64,492.692,424.13,459.05,735.467,-86.73,-0.03
2021/1/9,417.103,5.68,0,0,1,8,0,0,491.887,364.139,450.869,433.64,492.692,424.13,459.05,127.748,0.05
2021/1/10,489.915,5.59,0,0,1,8,0,0,417.103,491.887,364.139,450.869,433.64,492.692,424.13,-74.784,-0.09
2021/1/11,356.571,5.69,0,0,0,9,0,0,489.915,417.103,491.887,364.139,450.869,433.64,492.692,72.812,0.1
2021/1/12,488.242,5.5,0,0,0,15,0,0,356.571,489.915,417.103,491.887,364.139,450.869,433.64,-133.344,-0.19
2021/1/13,519.17,5.24,0,0,0,17,4,0,488.242,356.571,489.915,417.103,491.887,364.139,450.869,131.671,-0.26
2021/1/14,554.804,5.27,0,0,0,19,3,0,519.17,488.242,356.571,489.915,417.103,491.887,364.139,30.928,0.03
2021/1/15,547.124,5.31,0,0,0,17,4,0,554.804,519.17,488.242,356.571,489.915,417.103,491.887,35.634,0.04
2021/1/16,424.572,5.45,0,0,1,8,3,0,547.124,554.804,519.17,488.242,356.571,489.915,417.103,-7.68,0.14
2021/1/17,657.308,5.3,0,0,1,9,0,0,424.572,547.124,554.804,519.17,488.242,356.571,489.915,-122.552,-0.15
2021/1/18,385.822,6.54,0,0,0,14,2,0,657.308,424.572,547.124,554.804,519.17,488.242,356.571,232.736,1.24
2021/1/19,442.624,6.53,0,0,0,15,3,0,385.822,657.308,424.572,547.124,554.804,519.17,488.242,-271.486,-0.01
2021/1/20,442.457,6.59,0,0,0,10,6,0,442.624,385.822,657.308,424.572,547.124,554.804,519.17,56.802,0.06
2021/1/21,487.661,6.34,0,0,0,8,6,0,442.457,442.624,385.822,657.308,424.572,547.124,554.804,-0.167,-0.25
2021/1/22,449.204,6.85,0,0,0,14,3,0,487.661,442.457,442.624,385.822,657.308,424.572,547.124,45.204,0.51
2021/1/23,474.033,6.92,0,0,1,12,5,0,449.204,487.661,442.457,442.624,385.822,657.308,424.572,-38.457,0.07
2021/1/24,392.505,6.78,0,0,1,7,5,0,474.033,449.204,487.661,442.457,442.624,385.822,657.308,24.829,-0.14
2021/1/25,540.123,6.34,0,0,0,4,3,0,392.505,474.033,449.204,487.661,442.457,442.624,385.822,-81.528,-0.44
2021/1/26,524.696,6.75,0,0,0,10,5,0,540.123,392.505,474.033,449.204,487.661,442.457,442.624,147.618,0.41
2021/1/27,424.676,6.82,0,0,0,8,1,0,524.696,540.123,392.505,474.033,449.204,487.661,442.457,-15.427,0.07
2021/1/28,458.65,6.75,0,0,0,14,1,0,424.676,524.696,540.123,392.505,474.033,449.204,487.661,-100.02,-0.07
2021/1/29,417.157,6.72,0,0,0,12,6,0,458.65,424.676,524.696,540.123,392.505,474.033,449.204,33.974,-0.03
2021/1/30,492.848,6.63,0,0,1,13,6,0,417.157,458.65,424.676,524.696,540.123,392.505,474.033,-41.493,-0.09
2021/1/31,425.886,6.34,0,0,1,9,6,0,492.848,417.157,458.65,424.676,524.696,540.123,392.505,75.691,-0.29
2021/2/1,502.577,6.66,0,0,0,15,3,0,425.886,492.848,417.157,458.65,424.676,524.696,540.123,-66.962,0.32
2021/2/2,535.474,6.45,0,0,0,6,4,0,502.577,425.886,492.848,417.157,458.65,424.676,524.696,76.691,-0.21
2021/2/3,446.164,6.76,0,0,0,15,-4,0,535.474,502.577,425.886,492.848,417.157,458.65,424.676,32.897,0.31
2021/2/4,504.529,6.46,0,0,0,11,7,0,446.164,535.474,502.577,425.886,492.848,417.157,458.65,-89.31,-0.3
2021/2/5,530.1,6.85,0,0,0,19,1,0,504.529,446.164,535.474,502.577,425.886,492.848,417.157,58.365,0.39
2021/2/6,577.153,6.81,0,0,1,9,8,0,530.1,504.529,446.164,535.474,502.577,425.886,492.848,25.571,-0.04
2021/2/7,535.608,7.32,0,0,1,10,8,0,577.153,530.1,504.529,446.164,535.474,502.577,425.886,47.053,0.51
2021/2/8,657.76,7.42,0,0,0,10,4,0,535.608,577.153,530.1,504.529,446.164,535.474,502.577,-41.545,0.1
2021/2/9,754.995,7.56,0,0,0,12,7,0,657.76,535.608,577.153,530.1,504.529,446.164,535.474,122.152,0.14
2021/2/10,883.664,7.77,0,1,0,11,6,0,754.995,657.76,535.608,577.153,530.1,504.529,446.164,97.235,0.21
2021/2/11,405.738,8.03,1,0,0,17,6,0,883.664,754.995,657.76,535.608,577.153,530.1,504.529,128.669,0.26
2021/2/12,257.778,8.08,1,0,0,15,7,0,405.738,883.664,754.995,657.76,535.608,577.153,530.1,-477.926,0.05
2021/2/13,341.016,7.63,1,0,1,16,7,0,257.778,405.738,883.664,754.995,657.76,535.608,577.153,-147.96,-0.45
2021/2/14,319.347,7.24,1,0,1,20,8,0,341.016,257.778,405.738,883.664,754.995,657.76,535.608,83.238,-0.39
2021/2/15,306.343,5.71,1,0,0,17,7,0,319.347,341.016,257.778,405.738,883.664,754.995,657.76,-21.669,-1.53
2021/2/16,354.245,8.41,1,0,0,17,4,0,306.343,319.347,341.016,257.778,405.738,883.664,754.995,-13.004,2.7
2021/2/17,320.323,8.6,1,0,0,18,6,0,354.245,306.343,319.347,341.016,257.778,405.738,883.664,47.902,0.19
