date,sales,price,is_festival,is_festival_1d,is_weekend,Max_Temperature,Min_Temperature,extreme_weather,sales_1d,sales_2d,sales_3d,sales_4d,sales_5d,sales_6d,sales_7d,sales_diff,price_diff
2021/1/8,34.319,7.16,0,0,0,5,-2,0,32.914,13.633,32.221,46.539,33.252,25.589,56.142,19.281,1.93
2021/1/9,27.283,5.78,0,0,1,8,0,0,34.319,32.914,13.633,32.221,46.539,33.252,25.589,1.405,-1.38
2021/1/10,37.656,5.79,0,0,1,8,0,0,27.283,34.319,32.914,13.633,32.221,46.539,33.252,-7.036,0.01
2021/1/11,35.179,5.96,0,0,0,9,0,0,37.656,27.283,34.319,32.914,13.633,32.221,46.539,10.373,0.17
2021/1/12,28.806,5.93,0,0,0,15,0,0,35.179,37.656,27.283,34.319,32.914,13.633,32.221,-2.477,-0.03
2021/1/13,29.431,5.36,0,0,0,17,4,0,28.806,35.179,37.656,27.283,34.319,32.914,13.633,-6.373,-0.57
2021/1/14,45.506,5.36,0,0,0,19,3,0,29.431,28.806,35.179,37.656,27.283,34.319,32.914,0.625,0
2021/1/15,47.855,5.36,0,0,0,17,4,0,45.506,29.431,28.806,35.179,37.656,27.283,34.319,16.075,0
2021/1/16,38.626,5.33,0,0,1,8,3,0,47.855,45.506,29.431,28.806,35.179,37.656,27.283,2.349,-0.03
2021/1/17,46.679,5.26,0,0,1,9,0,0,38.626,47.855,45.506,29.431,28.806,35.179,37.656,-9.229,-0.07
2021/1/18,33.327,7.16,0,0,0,14,2,0,46.679,38.626,47.855,45.506,29.431,28.806,35.179,8.053,1.9
2021/1/19,43.775,7.01,0,0,0,15,3,0,33.327,46.679,38.626,47.855,45.506,29.431,28.806,-13.352,-0.15
2021/1/20,33.069,7.16,0,0,0,10,6,0,43.775,33.327,46.679,38.626,47.855,45.506,29.431,10.448,0.15
2021/1/21,39.608,6.63,0,0,0,8,6,0,33.069,43.775,33.327,46.679,38.626,47.855,45.506,-10.706,-0.53
2021/1/22,37.957,6.86,0,0,0,14,3,0,39.608,33.069,43.775,33.327,46.679,38.626,47.855,6.539,0.23
2021/1/23,51.157,6.17,0,0,1,12,5,0,37.957,39.608,33.069,43.775,33.327,46.679,38.626,-1.651,-0.69
2021/1/24,23.463,6.87,0,0,1,7,5,0,51.157,37.957,39.608,33.069,43.775,33.327,46.679,13.2,0.7
2021/1/25,48.33,6.1,0,0,0,4,3,0,23.463,51.157,37.957,39.608,33.069,43.775,33.327,-27.694,-0.77
2021/1/26,42.68,7.03,0,0,0,10,5,0,48.33,23.463,51.157,37.957,39.608,33.069,43.775,24.867,0.93
2021/1/27,34.682,6.92,0,0,0,8,1,0,42.68,48.33,23.463,51.157,37.957,39.608,33.069,-5.65,-0.11
2021/1/28,45.369,6.93,0,0,0,14,1,0,34.682,42.68,48.33,23.463,51.157,37.957,39.608,-7.998,0.01
2021/1/29,46.349,6.79,0,0,0,12,6,0,45.369,34.682,42.68,48.33,23.463,51.157,37.957,10.687,-0.14
2021/1/30,24.509,7.16,0,0,1,13,6,0,46.349,45.369,34.682,42.68,48.33,23.463,51.157,0.98,0.37
2021/1/31,46.506,6.23,0,0,1,9,6,0,24.509,46.349,45.369,34.682,42.68,48.33,23.463,-21.84,-0.93
2021/2/1,46.541,6.5,0,0,0,15,3,0,46.506,24.509,46.349,45.369,34.682,42.68,48.33,21.997,0.27
2021/2/2,34.496,7.03,0,0,0,6,4,0,46.541,46.506,24.509,46.349,45.369,34.682,42.68,0.035,0.53
2021/2/3,28.395,7.16,0,0,0,15,-4,0,34.496,46.541,46.506,24.509,46.349,45.369,34.682,-12.045,0.13
2021/2/4,44.952,6.88,0,0,0,11,7,0,28.395,34.496,46.541,46.506,24.509,46.349,45.369,-6.101,-0.28
2021/2/5,31.561,7.25,0,0,0,19,1,0,44.952,28.395,34.496,46.541,46.506,24.509,46.349,16.557,0.37
2021/2/6,35.839,7.13,0,0,1,9,8,0,31.561,44.952,28.395,34.496,46.541,46.506,24.509,-13.391,-0.12
2021/2/7,52.916,7.76,0,0,1,10,8,0,35.839,31.561,44.952,28.395,34.496,46.541,46.506,4.278,0.63
2021/2/8,50.064,7.84,0,0,0,10,4,0,52.916,35.839,31.561,44.952,28.395,34.496,46.541,17.077,0.08
2021/2/9,65.263,8.61,0,0,0,12,7,0,50.064,52.916,35.839,31.561,44.952,28.395,34.496,-2.852,0.77
2021/2/10,64.56,8.62,0,1,0,11,6,0,65.263,50.064,52.916,35.839,31.561,44.952,28.395,15.199,0.01
2021/2/11,63.857,8.62,1,0,0,17,6,0,64.56,65.263,50.064,52.916,35.839,31.561,44.952,-0.703,0
2021/2/12,39.478,8.64,1,0,0,15,7,0,63.857,64.56,65.263,50.064,52.916,35.839,31.561,-0.703,0.02
2021/2/13,61.002,8.46,1,0,1,16,7,0,39.478,63.857,64.56,65.263,50.064,52.916,35.839,-24.379,-0.18
2021/2/14,2.686,7.74,1,0,1,20,8,0,61.002,39.478,63.857,64.56,65.263,50.064,52.916,21.524,-0.72
2021/2/15,47.831,8.76,1,0,0,17,7,0,2.686,61.002,39.478,63.857,64.56,65.263,50.064,-58.316,1.02
2021/2/16,53.987,8.28,1,0,0,17,4,0,47.831,2.686,61.002,39.478,63.857,64.56,65.263,45.145,-0.48
2021/2/17,40.466,8.53,1,0,0,18,6,0,53.987,47.831,2.686,61.002,39.478,63.857,64.56,6.156,0.25
2021/2/18,50.687,8.58,0,0,0,18,8,0,40.466,53.987,47.831,2.686,61.002,39.478,63.857,-13.521,0.05
2021/2/19,59.737,8.76,0,0,0,22,8,0,50.687,40.466,53.987,47.831,2.686,61.002,39.478,10.221,0.18
2021/2/20,47.453,8.45,0,0,1,23,9,0,59.737,50.687,40.466,53.987,47.831,2.686,61.002,9.05,-0.31
2021/2/21,44.92,8.76,0,0,1,25,10,0,47.453,59.737,50.687,40.466,53.987,47.831,2.686,-12.284,0.31
2021/2/22,39.181,8.76,0,0,0,26,12,0,44.92,47.453,59.737,50.687,40.466,53.987,47.831,-2.533,0
2021/2/23,43.806,8.12,0,0,0,16,9,0,39.181,44.92,47.453,59.737,50.687,40.466,53.987,-5.739,-0.64
2021/2/24,63.052,8.02,0,0,0,10,6,0,43.806,39.181,44.92,47.453,59.737,50.687,40.466,4.625,-0.1
2021/2/25,38.234,8.69,0,0,0,7,4,0,63.052,43.806,39.181,44.92,47.453,59.737,50.687,19.246,0.67
2021/2/26,49.766,8.49,0,0,0,6,5,0,38.234,63.052,43.806,39.181,44.92,47.453,59.737,-24.818,-0.2
2021/2/27,46.85,8.7,0,0,1,11,3,0,49.766,38.234,63.052,43.806,39.181,44.92,47.453,11.532,0.21
